lesson_month,role_category,headcount_registered,headcount_active,headcount_with_lead,headcount_sample_ge30,shift_registered,shift_registered_past,shift_registered_future,shift_confirmed,shift_attended,shift_attended_planner_role,shift_attended_with_lead,shift_min_guarantee,shift_jiai_cancel,shift_absent,shift_unresolved_past,shift_priority_attended,participants_all,participants_lead,dup_participant_rows_removed,lead_1on1,lead_gc,assist_gc,lounge,same_day_gross_lead,later_gross_lead,gross_lead,coolingoff_lead,valid_lead,same_day_valid_lead,later_valid_lead,trial_membership_lead,gross_assist,valid_assist,coolingoff_assist,gross_all,valid_all,coolingoff_all,weighted_valid,weighted_vcv,vcv_sum_lead,shift_fee_yen,shift_fee_planner_base_yen,shift_fee_leader_facil_support_yen,shift_fee_min_guarantee_yen,incentive_yen_payable_ref,incentive_yen_paid,incentive_yen_paid_lead,incentive_yen_paid_assist,entrance_fee_valid_lead,plan_amount_valid_lead,first_month_revenue_valid_lead,lead_subsidy_target,lead_valid_subsidy_target,lead_difficulty_4_5_6,lead_valid_difficulty_4_5_6,lead_utm_other,lead_valid_utm_other,valid_rate_n,valid_rate_min,valid_rate_p25,valid_rate_median,valid_rate_p75,valid_rate_max,shifts_n,shifts_min,shifts_p25,shifts_median,shifts_p75,shifts_max,valid_cnt_n,valid_cnt_min,valid_cnt_p25,valid_cnt_median,valid_cnt_p75,valid_cnt_max,valid_per_lead_shift_n,valid_per_lead_shift_min,valid_per_lead_shift_p25,valid_per_lead_shift_median,valid_per_lead_shift_p75,valid_per_lead_shift_max,reward_n,reward_min,reward_p25,reward_median,reward_p75,reward_max,participants_lead_n,participants_lead_min,participants_lead_p25,participants_lead_median,participants_lead_p75,participants_lead_max,coolingoff_rate_n,coolingoff_rate_min,coolingoff_rate_p25,coolingoff_rate_median,coolingoff_rate_p75,coolingoff_rate_max,same_day_rate_lead,gross_rate_lead,coolingoff_rate_lead,valid_rate_lead,valid_rate_all,cancel_rate_shift,jiai_rate_shift,total_reward_yen,valid_per_shift_all,valid_per_lead_shift,valid_per_100_lead_shift,participants_per_lead_shift,reward_per_valid_yen,valid_per_reward_1man_yen,first_month_revenue_per_reward,entrance_fee_per_reward,weighted_vcv_achievement,subsidy_valid_rate_lead,difficulty456_valid_rate_lead,utm_other_valid_rate_lead,shifts_per_active_planner,valid_per_active_planner,reward_per_active_planner
2026-01,CP,90,90,89,1,1621.0,1621.0,0.0,1493.0,1255.0,1011.0,706.0,225.0,128.0,13.0,0.0,666.0,1077.0,707.0,107.0,494.0,213.0,214.0,153.0,227.0,26.0,253.0,52.0,201.0,176.0,25.0,23.0,82.0,61.0,21.0,344.0,268.0,76.0,204.0,201.5449201377842,200.55991039895036,4258000.0,2527500.0,1393000.0,337500.0,964800.0,964800.0,686100.0,253000.0,29331640.0,48572840.0,77904480.0,463.0,164.0,579.0,113.0,531.0,194.0,89,0.0,0.125,0.26666666666666666,0.375,0.75,89,1.0,8.0,10.0,17.0,51.0,89,0.0,1.0,2.0,3.0,15.0,89,0.0,0.125,0.26666666666666666,0.375,0.75,89,2500.0,28500.0,35500.0,61700.0,335000.0,89,1.0,4.0,7.0,9.0,40.0,76,0.0,0.0,0.0,0.35,1.0,0.32107496463932106,0.3578500707213578,0.20553359683794467,0.2842998585572843,0.2488393686165274,0.08698334361505243,0.07896360271437385,5222800.0,0.1601593625498008,0.2847025495750708,28.47025495750708,1.001416430594901,25984.079601990048,0.3848510377575247,14.916228842766332,5.616075668223941,1.012181303604861,0.3542116630669546,0.19516407599309155,0.3653483992467043,13.944444444444445,2.2333333333333334,58031.11111111111
2026-01,EP,23,23,23,14,1044.0,1044.0,0.0,1040.0,974.0,761.0,710.0,55.0,4.0,11.0,0.0,571.0,771.0,714.0,205.0,653.0,61.0,49.0,8.0,290.0,20.0,310.0,68.0,242.0,226.0,16.0,16.0,15.0,11.0,4.0,325.0,253.0,72.0,238.7,230.42136577874837,232.3967351990908,3446000.0,3044000.0,319500.0,82500.0,951800.0,951800.0,908100.0,43700.0,35621300.0,62527740.0,98149040.0,582.0,216.0,630.0,190.0,629.0,236.0,23,0.14285714285714285,0.19090909090909092,0.3333333333333333,0.39009661835748793,0.5,23,7.0,28.0,36.0,55.0,110.0,23,1.0,6.0,11.0,15.0,23.0,23,0.14285714285714285,0.19090909090909092,0.3333333333333333,0.39009661835748793,0.5,23,33200.0,122150.0,191300.0,243050.0,378500.0,23,7.0,21.5,33.0,37.0,54.0,23,0.0,0.15833333333333333,0.21428571428571427,0.31666666666666665,0.6666666666666666,0.4061624649859944,0.4341736694677871,0.21935483870967742,0.3389355742296919,0.32814526588845655,0.014367816091954023,0.0038314176245210726,4397800.0,0.24845995893223818,0.3408450704225352,34.08450704225352,1.0056338028169014,18172.727272727272,0.5502751375687844,22.31775887943972,8.099799899949975,1.035928240392433,0.3711340206185567,0.30158730158730157,0.3751987281399046,42.34782608695652,10.521739130434783,191208.69565217392
2026-01,SE,15,15,15,13,707.0,707.0,0.0,707.0,705.0,702.0,588.0,0.0,0.0,1.0,1.0,373.0,703.0,588.0,1.0,483.0,105.0,114.0,0.0,228.0,40.0,268.0,60.0,208.0,173.0,35.0,17.0,49.0,40.0,9.0,317.0,248.0,69.0,208.0,185.92059943380897,185.08372447344652,0.0,0.0,0.0,0.0,939100.0,0.0,0.0,0.0,30652520.0,55011160.0,85663680.0,425.0,171.0,519.0,158.0,482.0,195.0,15,0.1724137931034483,0.3,0.3469387755102041,0.40617848970251713,0.4489795918367347,15,6.0,50.0,51.0,51.0,56.0,15,1.0,10.5,16.0,18.0,22.0,15,0.1724137931034483,0.3,0.3469387755102041,0.40617848970251713,0.4489795918367347,15,0.0,0.0,0.0,0.0,0.0,15,4.0,34.5,41.0,49.0,50.0,15,0.0,0.15476190476190477,0.21739130434782608,0.23809523809523808,0.36666666666666664,0.3877551020408163,0.4557823129251701,0.22388059701492538,0.35374149659863946,0.352773826458037,0.0014144271570014145,0.0,0.0,0.2950354609929078,0.35374149659863946,35.374149659863946,1.0,0.0,,,,1.118757150275065,0.4023529411764706,0.3044315992292871,0.4045643153526971,47.0,13.866666666666667,0.0
2026-01,その他,12,12,9,1,252.0,252.0,0.0,251.0,168.0,37.0,88.0,1.0,1.0,1.0,81.0,113.0,126.0,116.0,1.0,110.0,6.0,8.0,0.0,39.0,5.0,44.0,13.0,31.0,27.0,4.0,8.0,5.0,4.0,1.0,49.0,35.0,14.0,31.3,32.565424409194684,32.41193968804848,0.0,0.0,0.0,0.0,126300.0,0.0,0.0,0.0,4573160.0,7932280.0,12505440.0,82.0,27.0,95.0,20.0,112.0,31.0,9,0.0,0.13333333333333333,0.25,0.3,1.0,9,1.0,4.0,11.0,17.0,34.0,9,0.0,2.0,3.0,5.0,9.0,9,0.0,0.18181818181818182,0.3,0.4090909090909091,1.0,9,0.0,0.0,0.0,0.0,0.0,9,1.0,3.0,10.0,15.0,39.0,7,0.0,0.20202020202020202,0.2857142857142857,0.3666666666666667,0.6666666666666666,0.33620689655172414,0.3793103448275862,0.29545454545454547,0.2672413793103448,0.2777777777777778,0.007936507936507936,0.003968253968253968,0.0,0.18452380952380953,0.3522727272727273,35.22727272727273,1.3181818181818181,0.0,,,,0.9611420875928337,0.32926829268292684,0.21052631578947367,0.2767857142857143,14.0,2.5833333333333335,0.0
2026-02,CP,91,91,89,2,1829.0,1829.0,0.0,1699.0,1402.0,1108.0,794.0,281.0,130.0,16.0,0.0,737.0,1250.0,796.0,196.0,566.0,230.0,211.0,234.0,233.0,19.0,252.0,64.0,188.0,172.0,16.0,29.0,81.0,53.0,28.0,338.0,245.0,93.0,187.10000000000002,209.292178247396,209.66202257949217,4729000.0,2770000.0,1537500.0,421500.0,923200.0,923200.0,694200.0,210300.0,27345480.0,41525700.0,68871180.0,486.0,131.0,692.0,131.0,552.0,169.0,89,0.0,0.0,0.2222222222222222,0.3333333333333333,1.0,89,2.0,9.0,11.0,19.0,75.0,89,0.0,0.0,1.0,3.0,21.0,89,0.0,0.0,0.2222222222222222,0.3333333333333333,1.0,89,5000.0,27700.0,40700.0,68000.0,385400.0,89,1.0,5.0,8.0,10.0,53.0,71,0.0,0.0,0.2222222222222222,0.41428571428571426,1.0,0.292713567839196,0.3165829145728643,0.25396825396825395,0.23618090452261306,0.196,0.07982504100601422,0.07107709130672499,5652200.0,0.1340941512125535,0.2367758186397985,23.67758186397985,1.0025188916876575,30064.893617021276,0.33261384947454087,12.184844839177666,4.838024132196313,0.8939655631986233,0.26954732510288065,0.1893063583815029,0.3061594202898551,15.406593406593407,2.065934065934066,62112.08791208791
2026-02,EP,24,22,21,12,878.0,878.0,0.0,871.0,792.0,630.0,595.0,67.0,7.0,11.0,1.0,472.0,634.0,596.0,153.0,556.0,40.0,36.0,2.0,222.0,21.0,243.0,67.0,176.0,161.0,15.0,23.0,13.0,10.0,3.0,256.0,186.0,70.0,174.8,180.8354979373403,182.17468764041433,2863500.0,2520000.0,243000.0,100500.0,731800.0,731800.0,694600.0,37200.0,25968160.0,47926400.0,73894560.0,478.0,158.0,555.0,154.0,501.0,164.0,21,0.14285714285714285,0.2692307692307692,0.3076923076923077,0.3333333333333333,0.55,21,11.0,26.0,36.0,48.0,86.0,21,1.0,7.0,8.0,12.0,15.0,21,0.14285714285714285,0.27450980392156865,0.3076923076923077,0.3333333333333333,0.55,21,36500.0,131700.0,172700.0,212400.0,326100.0,21,3.0,24.0,30.0,34.0,52.0,21,0.0,0.2,0.23076923076923078,0.35,0.5,0.3724832214765101,0.4077181208053691,0.2757201646090535,0.2953020134228188,0.29337539432176657,0.02050113895216401,0.007972665148063782,3595300.0,0.2222222222222222,0.2957983193277311,29.57983193277311,1.0016806722689076,20427.840909090908,0.48952799488220733,20.55309988039941,7.222807554307012,0.9666243740516499,0.3305439330543933,0.2774774774774775,0.3273453093812375,36.0,8.0,163422.72727272726
2026-02,SE,15,15,15,15,648.0,648.0,0.0,648.0,646.0,643.0,614.0,0.0,0.0,0.0,2.0,373.0,646.0,616.0,2.0,600.0,16.0,30.0,0.0,220.0,32.0,252.0,58.0,194.0,169.0,25.0,20.0,9.0,7.0,2.0,261.0,201.0,60.0,194.6,194.53371811251816,193.60217683494653,0.0,0.0,0.0,0.0,766000.0,0.0,0.0,0.0,28606200.0,51534340.0,80140540.0,470.0,166.0,541.0,145.0,513.0,184.0,15,0.11627906976744186,0.22748538011695907,0.29545454545454547,0.39285714285714285,0.6097560975609756,15,35.0,41.5,44.0,45.5,48.0,15,5.0,9.5,12.0,16.5,25.0,15,0.11627906976744186,0.22748538011695907,0.29545454545454547,0.3975029036004646,0.6097560975609756,15,0.0,0.0,0.0,0.0,0.0,15,35.0,39.5,42.0,43.5,45.0,15,0.05,0.11607142857142858,0.2,0.3205128205128205,0.5454545454545454,0.35714285714285715,0.4090909090909091,0.23015873015873015,0.31493506493506496,0.3111455108359133,0.0,0.0,0.0,0.30030959752321984,0.31596091205211724,31.596091205211724,1.003257328990228,0.0,,,,1.0003407218456777,0.35319148936170214,0.2680221811460259,0.3586744639376218,43.06666666666667,12.933333333333334,0.0
2026-02,その他,13,13,11,0,221.0,221.0,0.0,220.0,157.0,52.0,89.0,0.0,1.0,0.0,63.0,103.0,123.0,106.0,0.0,99.0,7.0,16.0,0.0,42.0,4.0,46.0,12.0,34.0,31.0,3.0,3.0,8.0,7.0,1.0,54.0,41.0,13.0,35.5,34.8164803462362,34.03898758863766,0.0,0.0,0.0,0.0,155700.0,0.0,0.0,0.0,5075600.0,9944000.0,15019600.0,78.0,29.0,86.0,24.0,99.0,33.0,11,0.0,0.2361111111111111,0.2857142857142857,0.45833333333333337,1.0,11,1.0,1.5,11.0,16.5,29.0,11,0.0,1.0,2.0,4.5,10.0,11,0.0,0.27884615384615385,0.36363636363636365,0.5,1.0,11,0.0,0.0,0.0,0.0,0.0,11,1.0,1.5,9.0,15.5,24.0,11,0.0,0.0,0.16666666666666666,0.35416666666666663,1.0,0.39622641509433965,0.4339622641509434,0.2608695652173913,0.32075471698113206,0.3333333333333333,0.004524886877828055,0.004524886877828055,0.0,0.21656050955414013,0.38202247191011235,38.20224719101123,1.1910112359550562,0.0,,,,1.0196320721384375,0.3717948717948718,0.27906976744186046,0.3333333333333333,12.076923076923077,2.6153846153846154,0.0
2026-03,CP,90,88,86,1,1734.0,1734.0,0.0,1633.0,1269.0,920.0,619.0,353.0,101.0,9.0,2.0,625.0,944.0,619.0,160.0,403.0,216.0,201.0,122.0,177.0,25.0,202.0,38.0,164.0,140.0,24.0,20.0,71.0,59.0,12.0,280.0,230.0,50.0,163.4,156.0246113701173,156.8913235477727,4575500.0,2300000.0,1746000.0,529500.0,846600.0,846600.0,587100.0,232600.0,23958180.0,36923800.0,60881980.0,366.0,123.0,531.0,107.0,410.0,153.0,86,0.0,0.0875,0.2111111111111111,0.39375000000000004,1.0,86,2.0,7.0,11.5,17.0,53.0,86,0.0,1.0,1.0,2.0,16.0,86,0.0,0.0875,0.2111111111111111,0.39375000000000004,1.0,86,6500.0,27875.0,43000.0,66525.0,358200.0,86,1.0,4.0,6.0,9.0,38.0,72,0.0,0.0,0.0,0.3333333333333333,1.0,0.2859450726978998,0.3263327948303716,0.18811881188118812,0.2649434571890145,0.24364406779661016,0.06343713956170703,0.058246828143021914,5422100.0,0.12923561859732072,0.2649434571890145,26.494345718901453,1.0,33061.58536585366,0.30246583427085444,11.228487117537485,4.418616403238597,1.0472706745757374,0.3360655737704918,0.2015065913370998,0.37317073170731707,14.420454545454545,1.8636363636363635,61614.77272727273
2026-03,EP,16,16,16,10,812.0,812.0,0.0,805.0,713.0,560.0,523.0,83.0,7.0,5.0,4.0,428.0,566.0,527.0,143.0,466.0,61.0,39.0,0.0,202.0,22.0,224.0,57.0,167.0,146.0,21.0,26.0,12.0,6.0,6.0,236.0,173.0,63.0,162.5,153.77039352922,156.52799211541424,2594000.0,2240000.0,229500.0,124500.0,705500.0,705500.0,680800.0,24700.0,24722720.0,45725860.0,70448580.0,418.0,146.0,498.0,152.0,464.0,160.0,16,0.0,0.2644230769230769,0.3220046082949309,0.33536585365853655,0.4375,16,1.0,35.0,45.5,60.5,69.0,16,0.0,8.5,10.0,13.25,21.0,16,0.0,0.2644230769230769,0.3220046082949309,0.3439353988134476,0.4375,16,7000.0,162825.0,202150.0,249525.0,340600.0,16,1.0,26.75,30.5,40.25,56.0,15,0.0,0.17777777777777776,0.23529411764705882,0.33384615384615385,0.4444444444444444,0.38330170777988615,0.4250474383301708,0.2544642857142857,0.31688804554079697,0.30565371024734983,0.014778325123152709,0.008620689655172414,3299500.0,0.23422159887798036,0.3193116634799235,31.931166347992352,1.0076481835564053,19757.48502994012,0.5061372935293226,21.351289589331717,7.492868616457039,1.0567703981919065,0.3492822966507177,0.30522088353413657,0.3448275862068966,44.5625,10.4375,206218.75
