lesson_month,role_category,role_subcategory,headcount_registered,headcount_active,headcount_with_lead,headcount_sample_ge30,shift_registered,shift_registered_past,shift_registered_future,shift_confirmed,shift_attended,shift_attended_planner_role,shift_attended_with_lead,shift_min_guarantee,shift_jiai_cancel,shift_absent,shift_unresolved_past,shift_priority_attended,participants_all,participants_lead,dup_participant_rows_removed,lead_1on1,lead_gc,assist_gc,lounge,same_day_gross_lead,later_gross_lead,gross_lead,coolingoff_lead,valid_lead,same_day_valid_lead,later_valid_lead,trial_membership_lead,gross_assist,valid_assist,coolingoff_assist,gross_all,valid_all,coolingoff_all,weighted_valid,weighted_vcv,vcv_sum_lead,shift_fee_yen,shift_fee_planner_base_yen,shift_fee_leader_facil_support_yen,shift_fee_min_guarantee_yen,incentive_yen_payable_ref,incentive_yen_paid,incentive_yen_paid_lead,incentive_yen_paid_assist,entrance_fee_valid_lead,plan_amount_valid_lead,first_month_revenue_valid_lead,lead_subsidy_target,lead_valid_subsidy_target,lead_difficulty_4_5_6,lead_valid_difficulty_4_5_6,lead_utm_other,lead_valid_utm_other,valid_rate_n,valid_rate_min,valid_rate_p25,valid_rate_median,valid_rate_p75,valid_rate_max,shifts_n,shifts_min,shifts_p25,shifts_median,shifts_p75,shifts_max,valid_cnt_n,valid_cnt_min,valid_cnt_p25,valid_cnt_median,valid_cnt_p75,valid_cnt_max,valid_per_lead_shift_n,valid_per_lead_shift_min,valid_per_lead_shift_p25,valid_per_lead_shift_median,valid_per_lead_shift_p75,valid_per_lead_shift_max,reward_n,reward_min,reward_p25,reward_median,reward_p75,reward_max,participants_lead_n,participants_lead_min,participants_lead_p25,participants_lead_median,participants_lead_p75,participants_lead_max,coolingoff_rate_n,coolingoff_rate_min,coolingoff_rate_p25,coolingoff_rate_median,coolingoff_rate_p75,coolingoff_rate_max,same_day_rate_lead,gross_rate_lead,coolingoff_rate_lead,valid_rate_lead,valid_rate_all,cancel_rate_shift,jiai_rate_shift,total_reward_yen,valid_per_shift_all,valid_per_lead_shift,valid_per_100_lead_shift,participants_per_lead_shift,reward_per_valid_yen,valid_per_reward_1man_yen,first_month_revenue_per_reward,entrance_fee_per_reward,weighted_vcv_achievement,subsidy_valid_rate_lead,difficulty456_valid_rate_lead,utm_other_valid_rate_lead,shifts_per_active_planner,valid_per_active_planner,reward_per_active_planner
2026-01,CP,CP,90,90,89,1,1621.0,1621.0,0.0,1493.0,1255.0,1011.0,706.0,225.0,128.0,13.0,0.0,666.0,1077.0,707.0,107.0,494.0,213.0,214.0,153.0,227.0,26.0,253.0,52.0,201.0,176.0,25.0,23.0,82.0,61.0,21.0,344.0,268.0,76.0,204.0,201.5449201377842,200.55991039895036,4258000.0,2527500.0,1393000.0,337500.0,964800.0,964800.0,686100.0,253000.0,29331640.0,48572840.0,77904480.0,463.0,164.0,579.0,113.0,531.0,194.0,89,0.0,0.125,0.26666666666666666,0.375,0.75,89,1.0,8.0,10.0,17.0,51.0,89,0.0,1.0,2.0,3.0,15.0,89,0.0,0.125,0.26666666666666666,0.375,0.75,89,2500.0,28500.0,35500.0,61700.0,335000.0,89,1.0,4.0,7.0,9.0,40.0,76,0.0,0.0,0.0,0.35,1.0,0.32107496463932106,0.3578500707213578,0.20553359683794467,0.2842998585572843,0.2488393686165274,0.08698334361505243,0.07896360271437385,5222800.0,0.1601593625498008,0.2847025495750708,28.47025495750708,1.001416430594901,25984.079601990048,0.3848510377575247,14.916228842766332,5.616075668223941,1.012181303604861,0.3542116630669546,0.19516407599309155,0.3653483992467043,13.944444444444445,2.2333333333333334,58031.11111111111
2026-01,EP,EP,23,23,23,14,1044.0,1044.0,0.0,1040.0,974.0,761.0,710.0,55.0,4.0,11.0,0.0,571.0,771.0,714.0,205.0,653.0,61.0,49.0,8.0,290.0,20.0,310.0,68.0,242.0,226.0,16.0,16.0,15.0,11.0,4.0,325.0,253.0,72.0,238.7,230.42136577874837,232.3967351990908,3446000.0,3044000.0,319500.0,82500.0,951800.0,951800.0,908100.0,43700.0,35621300.0,62527740.0,98149040.0,582.0,216.0,630.0,190.0,629.0,236.0,23,0.14285714285714285,0.19090909090909092,0.3333333333333333,0.39009661835748793,0.5,23,7.0,28.0,36.0,55.0,110.0,23,1.0,6.0,11.0,15.0,23.0,23,0.14285714285714285,0.19090909090909092,0.3333333333333333,0.39009661835748793,0.5,23,33200.0,122150.0,191300.0,243050.0,378500.0,23,7.0,21.5,33.0,37.0,54.0,23,0.0,0.15833333333333333,0.21428571428571427,0.31666666666666665,0.6666666666666666,0.4061624649859944,0.4341736694677871,0.21935483870967742,0.3389355742296919,0.32814526588845655,0.014367816091954023,0.0038314176245210726,4397800.0,0.24845995893223818,0.3408450704225352,34.08450704225352,1.0056338028169014,18172.727272727272,0.5502751375687844,22.31775887943972,8.099799899949975,1.035928240392433,0.3711340206185567,0.30158730158730157,0.3751987281399046,42.34782608695652,10.521739130434783,191208.69565217392
2026-01,SE,SE(SE),13,13,13,10,549.0,549.0,0.0,549.0,548.0,547.0,477.0,0.0,0.0,0.0,1.0,294.0,549.0,477.0,1.0,399.0,78.0,71.0,0.0,188.0,35.0,223.0,52.0,171.0,140.0,31.0,15.0,33.0,25.0,8.0,256.0,196.0,60.0,168.29999999999998,153.84905783405128,154.49377094938492,0.0,0.0,0.0,0.0,747800.0,0.0,0.0,0.0,25281160.0,46619860.0,71901020.0,361.0,147.0,428.0,135.0,407.0,163.0,13,0.0,0.30612244897959184,0.3469387755102041,0.391304347826087,0.4489795918367347,13,3.0,46.0,50.0,51.0,52.0,13,0.0,7.0,16.0,18.0,22.0,13,0.0,0.30612244897959184,0.3469387755102041,0.391304347826087,0.4489795918367347,13,0.0,0.0,0.0,0.0,0.0,13,3.0,31.0,45.0,49.0,50.0,12,0.10526315789473684,0.20471014492753623,0.22875816993464052,0.2589285714285714,0.5,0.3941299790356394,0.46750524109014674,0.23318385650224216,0.3584905660377358,0.3570127504553734,0.0,0.0,0.0,0.31204379562043794,0.3584905660377358,35.84905660377358,1.0,0.0,,,,1.0939293510756247,0.407202216066482,0.31542056074766356,0.4004914004914005,42.15384615384615,13.153846153846153,0.0
2026-01,SE,SE(SE_onboarding),5,5,5,2,158.0,158.0,0.0,158.0,157.0,155.0,111.0,0.0,0.0,1.0,0.0,79.0,154.0,111.0,0.0,84.0,27.0,43.0,0.0,40.0,5.0,45.0,8.0,37.0,33.0,4.0,2.0,16.0,15.0,1.0,61.0,52.0,9.0,39.7,32.07154159975769,30.589953524061606,0.0,0.0,0.0,0.0,191300.0,0.0,0.0,0.0,5371360.0,8391300.0,13762660.0,64.0,24.0,91.0,23.0,75.0,32.0,5,0.0,0.25,0.2962962962962963,0.3,0.45714285714285713,5,6.0,10.0,45.0,48.0,48.0,5,0.0,1.0,8.0,12.0,16.0,5,0.0,0.25,0.2962962962962963,0.3,0.45714285714285713,5,0.0,0.0,0.0,0.0,0.0,5,4.0,5.0,27.0,35.0,40.0,4,0.0,0.08333333333333333,0.12698412698412698,0.16666666666666666,0.23809523809523808,0.36036036036036034,0.40540540540540543,0.17777777777777778,0.3333333333333333,0.33766233766233766,0.006329113924050633,0.0,0.0,0.2356687898089172,0.3333333333333333,33.33333333333333,1.0,0.0,,,,1.2378575528249616,0.375,0.25274725274725274,0.4266666666666667,31.4,7.4,0.0
2026-01,その他,その他_CMM(拠点),2,2,2,0,72.0,72.0,0.0,72.0,21.0,9.0,17.0,0.0,0.0,0.0,51.0,14.0,24.0,21.0,0.0,17.0,4.0,3.0,0.0,10.0,0.0,10.0,3.0,7.0,7.0,0.0,1.0,2.0,2.0,0.0,12.0,9.0,3.0,7.0,5.195733600410907,5.276587322320093,0.0,0.0,0.0,0.0,31600.0,0.0,0.0,0.0,1050800.0,2286000.0,3336800.0,19.0,7.0,17.0,4.0,20.0,7.0,2,0.25,0.28365384615384615,0.3173076923076923,0.3509615384615385,0.38461538461538464,2,10.0,10.25,10.5,10.75,11.0,2,2.0,2.75,3.5,4.25,5.0,2,0.2857142857142857,0.3392857142857143,0.39285714285714285,0.4464285714285714,0.5,2,0.0,0.0,0.0,0.0,0.0,2,8.0,9.25,10.5,11.75,13.0,2,0.2857142857142857,0.2976190476190476,0.30952380952380953,0.3214285714285714,0.3333333333333333,0.47619047619047616,0.47619047619047616,0.3,0.3333333333333333,0.375,0.0,0.0,0.0,0.3333333333333333,0.4117647058823529,41.17647058823529,1.2352941176470589,0.0,,,,1.3472592204200773,0.3684210526315789,0.23529411764705882,0.35,10.5,3.5,0.0
2026-01,その他,その他_other,9,9,7,1,148.0,148.0,0.0,147.0,115.0,28.0,71.0,1.0,1.0,1.0,30.0,75.0,102.0,95.0,1.0,93.0,2.0,5.0,0.0,29.0,5.0,34.0,10.0,24.0,20.0,4.0,7.0,3.0,2.0,1.0,37.0,26.0,11.0,24.3,27.36969080878378,27.135352365728394,0.0,0.0,0.0,0.0,94700.0,0.0,0.0,0.0,3522360.0,5646280.0,9168640.0,63.0,20.0,78.0,16.0,92.0,24.0,7,0.0,0.06666666666666667,0.23076923076923078,0.2846153846153846,1.0,7,1.0,4.0,13.0,24.0,34.0,7,0.0,1.0,3.0,5.0,9.0,7,0.0,0.09090909090909091,0.3,0.35671936758893286,1.0,7,0.0,0.0,0.0,0.0,0.0,7,1.0,2.0,10.0,20.5,39.0,5,0.0,0.18181818181818182,0.2222222222222222,0.4,0.6666666666666666,0.30526315789473685,0.35789473684210527,0.29411764705882354,0.25263157894736843,0.2549019607843137,0.013513513513513514,0.006756756756756757,0.0,0.20869565217391303,0.3380281690140845,33.80281690140845,1.3380281690140845,0.0,,,,0.8878434239454901,0.31746031746031744,0.20512820512820512,0.2608695652173913,12.777777777777779,2.6666666666666665,0.0
2026-01,その他,その他_社員等(メタなし/未設定),1,1,0,0,32.0,32.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,32.0,0.0,0.0
2026-02,CP,CP,91,91,89,2,1829.0,1829.0,0.0,1699.0,1402.0,1108.0,794.0,281.0,130.0,16.0,0.0,737.0,1250.0,796.0,196.0,566.0,230.0,211.0,234.0,233.0,19.0,252.0,64.0,188.0,172.0,16.0,29.0,81.0,53.0,28.0,338.0,245.0,93.0,187.10000000000002,209.292178247396,209.66202257949217,4729000.0,2770000.0,1537500.0,421500.0,923200.0,923200.0,694200.0,210300.0,27345480.0,41525700.0,68871180.0,486.0,131.0,692.0,131.0,552.0,169.0,89,0.0,0.0,0.2222222222222222,0.3333333333333333,1.0,89,2.0,9.0,11.0,19.0,75.0,89,0.0,0.0,1.0,3.0,21.0,89,0.0,0.0,0.2222222222222222,0.3333333333333333,1.0,89,5000.0,27700.0,40700.0,68000.0,385400.0,89,1.0,5.0,8.0,10.0,53.0,71,0.0,0.0,0.2222222222222222,0.41428571428571426,1.0,0.292713567839196,0.3165829145728643,0.25396825396825395,0.23618090452261306,0.196,0.07982504100601422,0.07107709130672499,5652200.0,0.1340941512125535,0.2367758186397985,23.67758186397985,1.0025188916876575,30064.893617021276,0.33261384947454087,12.184844839177666,4.838024132196313,0.8939655631986233,0.26954732510288065,0.1893063583815029,0.3061594202898551,15.406593406593407,2.065934065934066,62112.08791208791
2026-02,EP,EP,24,22,21,12,878.0,878.0,0.0,871.0,792.0,630.0,595.0,67.0,7.0,11.0,1.0,472.0,634.0,596.0,153.0,556.0,40.0,36.0,2.0,222.0,21.0,243.0,67.0,176.0,161.0,15.0,23.0,13.0,10.0,3.0,256.0,186.0,70.0,174.8,180.8354979373403,182.17468764041433,2863500.0,2520000.0,243000.0,100500.0,731800.0,731800.0,694600.0,37200.0,25968160.0,47926400.0,73894560.0,478.0,158.0,555.0,154.0,501.0,164.0,21,0.14285714285714285,0.2692307692307692,0.3076923076923077,0.3333333333333333,0.55,21,11.0,26.0,36.0,48.0,86.0,21,1.0,7.0,8.0,12.0,15.0,21,0.14285714285714285,0.27450980392156865,0.3076923076923077,0.3333333333333333,0.55,21,36500.0,131700.0,172700.0,212400.0,326100.0,21,3.0,24.0,30.0,34.0,52.0,21,0.0,0.2,0.23076923076923078,0.35,0.5,0.3724832214765101,0.4077181208053691,0.2757201646090535,0.2953020134228188,0.29337539432176657,0.02050113895216401,0.007972665148063782,3595300.0,0.2222222222222222,0.2957983193277311,29.57983193277311,1.0016806722689076,20427.840909090908,0.48952799488220733,20.55309988039941,7.222807554307012,0.9666243740516499,0.3305439330543933,0.2774774774774775,0.3273453093812375,36.0,8.0,163422.72727272726
2026-02,SE,SE(SE),14,14,14,14,602.0,602.0,0.0,602.0,600.0,597.0,578.0,0.0,0.0,0.0,2.0,342.0,600.0,580.0,2.0,572.0,8.0,20.0,0.0,214.0,32.0,246.0,57.0,189.0,164.0,25.0,20.0,5.0,4.0,1.0,251.0,193.0,58.0,189.0,184.31355754537395,183.45560112943514,0.0,0.0,0.0,0.0,738500.0,0.0,0.0,0.0,27881200.0,50246340.0,78127540.0,450.0,161.0,516.0,145.0,492.0,179.0,14,0.11627906976744186,0.2515151515151515,0.30487012987012985,0.39880952380952384,0.6097560975609756,14,35.0,41.25,44.0,45.0,48.0,14,5.0,10.25,12.5,16.75,25.0,14,0.11627906976744186,0.2515151515151515,0.30487012987012985,0.4011324041811847,0.6097560975609756,14,0.0,0.0,0.0,0.0,0.0,14,35.0,41.0,42.0,43.75,45.0,14,0.05,0.11160714285714285,0.23333333333333334,0.3269230769230769,0.5454545454545454,0.3689655172413793,0.4241379310344828,0.23170731707317074,0.3258620689655172,0.32166666666666666,0.0,0.0,0.0,0.315,0.32698961937716264,32.69896193771626,1.0034602076124568,0.0,,,,1.0254264662732275,0.35777777777777775,0.2810077519379845,0.3638211382113821,42.857142857142854,13.5,0.0
