lesson_month,participants,valid,valid_rate,basis,participants_gross_per_planner,gross,coolingoff
2026-07,793,310,0.3909,依頼記載の既存集計「その他」参考値,,,
2026-08,669,264,0.3946,依頼記載の既存集計「その他」参考値,,,
2026-09,191,59,0.3089,依頼記載の既存集計「その他」参考値,,,
2026-01,615,238,0.38699186991869916,A: 現在値planner_term=SE & role_status=プランナー（既存集計の再現、主行のみ）,652.0,301.0,63.0
2026-02,599,181,0.3021702838063439,A: 現在値planner_term=SE & role_status=プランナー（既存集計の再現、主行のみ）,600.0,240.0,59.0
2026-03,780,259,0.33205128205128204,A: 現在値planner_term=SE & role_status=プランナー（既存集計の再現、主行のみ）,803.0,328.0,69.0
2026-04,734,281,0.38283378746594005,A: 現在値planner_term=SE & role_status=プランナー（既存集計の再現、主行のみ）,747.0,345.0,64.0
2026-05,710,274,0.38591549295774646,A: 現在値planner_term=SE & role_status=プランナー（既存集計の再現、主行のみ）,715.0,338.0,64.0
2026-06,840,334,0.3976190476190476,A: 現在値planner_term=SE & role_status=プランナー（既存集計の再現、主行のみ）,850.0,408.0,74.0
2026-07,789,316,0.4005069708491762,A: 現在値planner_term=SE & role_status=プランナー（既存集計の再現、主行のみ）,800.0,375.0,59.0
2026-08,682,266,0.39002932551319647,A: 現在値planner_term=SE & role_status=プランナー（既存集計の再現、主行のみ）,685.0,310.0,44.0
2026-09,212,65,0.30660377358490565,A: 現在値planner_term=SE & role_status=プランナー（既存集計の再現、主行のみ）,212.0,72.0,7.0
2026-01,654,248,0.37920489296636084,B: 本抽出 実施日時点SE（全シフト役割・GCアシスト含む）,703.0,317.0,69.0
2026-02,643,201,0.31259720062208396,B: 本抽出 実施日時点SE（全シフト役割・GCアシスト含む）,646.0,261.0,60.0
2026-03,835,279,0.3341317365269461,B: 本抽出 実施日時点SE（全シフト役割・GCアシスト含む）,860.0,351.0,72.0
2026-04,787,301,0.38246505717916135,B: 本抽出 実施日時点SE（全シフト役割・GCアシスト含む）,803.0,367.0,66.0
2026-05,756,288,0.38095238095238093,B: 本抽出 実施日時点SE（全シフト役割・GCアシスト含む）,761.0,354.0,66.0
2026-06,899,354,0.39377085650723026,B: 本抽出 実施日時点SE（全シフト役割・GCアシスト含む）,911.0,432.0,78.0
2026-07,841,332,0.3947681331747919,B: 本抽出 実施日時点SE（全シフト役割・GCアシスト含む）,853.0,393.0,61.0
2026-08,713,278,0.3899018232819074,B: 本抽出 実施日時点SE（全シフト役割・GCアシスト含む）,716.0,323.0,45.0
2026-09,212,65,0.30660377358490565,B: 本抽出 実施日時点SE（全シフト役割・GCアシスト含む）,212.0,72.0,7.0
2026-01,587,208,0.3543441226575809,C: 本抽出 実施日時点SE & リード（1on1/GCリード）のみ = 本表の成約率定義,588.0,268.0,60.0
2026-02,616,194,0.31493506493506496,C: 本抽出 実施日時点SE & リード（1on1/GCリード）のみ = 本表の成約率定義,616.0,252.0,58.0
2026-03,800,262,0.3275,C: 本抽出 実施日時点SE & リード（1on1/GCリード）のみ = 本表の成約率定義,802.0,329.0,67.0
2026-04,763,287,0.3761467889908257,C: 本抽出 実施日時点SE & リード（1on1/GCリード）のみ = 本表の成約率定義,766.0,352.0,65.0
2026-05,723,279,0.38589211618257263,C: 本抽出 実施日時点SE & リード（1on1/GCリード）のみ = 本表の成約率定義,726.0,343.0,64.0
2026-06,863,339,0.3928157589803013,C: 本抽出 実施日時点SE & リード（1on1/GCリード）のみ = 本表の成約率定義,866.0,414.0,75.0
2026-07,798,314,0.39348370927318294,C: 本抽出 実施日時点SE & リード（1on1/GCリード）のみ = 本表の成約率定義,803.0,371.0,57.0
2026-08,670,264,0.3940298507462687,C: 本抽出 実施日時点SE & リード（1on1/GCリード）のみ = 本表の成約率定義,670.0,302.0,38.0
2026-09,195,61,0.3128205128205128,C: 本抽出 実施日時点SE & リード（1on1/GCリード）のみ = 本表の成約率定義,195.0,68.0,7.0
